EggNOG,locus_tag,old_locus_tag,COG,minPos,maxPos,Orient,gene_id,NCBI_desc,protein_id,gi_id,pfam_id,interpro_id,EC_num,unknown,COG_desc,unknown2,NOG_desc
NA,Intergenic_0_1_58,Intergenic_0_1_58,NA,1,58,.,Intergenic_0_1_58,Intergenic_0_1_58,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105CI4,OG1RF_RS00015,OG1RF_10001,COG0593,59,1402,+,dnaA,ATPase,AEA92688.1,GI:327533854,"PF00308,PF08299",IPR001957,NA,L,Chromosomal replication initiation ATPase DnaA,L,it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids (By similarity)
NA,Intergenic_1_1403_1603,Intergenic_1_1403_1603,NA,1403,1603,.,Intergenic_1_1403_1603,Intergenic_1_1403_1603,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105CZ8,OG1RF_RS00020,OG1RF_10002,COG0592,1604,2734,+,dnaN,DNA-directed DNA polymerase III beta subunit,AEA92689.1,GI:327533855,"PF00712,PF02767,PF02768",IPR001001,2.7.7.7,L,"DNA polymerase III sliding clamp (beta) subunit, PCNA homolog",L,"DNA polymerase III is a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria. This DNA polymerase also exhibits 3' to 5' exonuclease activity. The beta chain is required for initiation of replication once it is clamped onto DNA, it slides freely (bidirectional and ATP- independent) along duplex DNA (By similarity)"
NA,Intergenic_2_2735_3312,Intergenic_2_2735_3312,NA,2735,3312,.,Intergenic_2_2735_3312,Intergenic_2_2735_3312,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG410848D,OG1RF_RS00025,OG1RF_10003,COG2501,3313,3558,+,yaaA,S4 domain protein YaaA,AEA92690.1,GI:327533856,NA,IPR014330,NA,J,"Ribosome-associated protein YbcJ, S4-like RNA binding protein",S,S4 domain protein YaaA
ENOG4105C3X,OG1RF_RS00030,OG1RF_10004,COG1195,3545,4672,+,recF,recombination protein F,AEA92691.1,GI:327533857,PF02463,IPR001238,NA,L,Recombinational DNA repair ATPase RecF,L,"it is required for DNA replication and normal SOS inducibility. RecF binds preferentially to single-stranded, linear DNA. It also seems to bind ATP (By similarity)"
NA,OG1RF_RS00035,OG1RF_10005,COG0187,4669,6618,+,gyrB,DNA topoisomerase (ATP-hydrolyzing) subunit B,AEA92692.1,GI:327533858,"PF02518,PF00204,PF01751,PF00986",IPR011557,5.99.1.3,L,"DNA gyrase/topoisomerase IV, subunit B",NA,NA
NA,Intergenic_5_6619_6673,Intergenic_5_6619_6673,NA,6619,6673,.,Intergenic_5_6619_6673,Intergenic_5_6619_6673,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105C24,OG1RF_RS00040,OG1RF_10006,COG0188,6674,9175,+,gyrA,DNA topoisomerase (ATP-hydrolyzing) subunit A,AEA92693.1,GI:327533859,"PF00521,PF03989",IPR005743,5.99.1.3,L,"DNA gyrase/topoisomerase IV, subunit A",L,"DNA gyrase negatively supercoils closed circular double- stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings, including catenanes and knotted rings (By similarity)"
